1,“ª,1,1,U+4E00 ,D2BB
2,ÿ≠,1,2,U+4E28 ,D8AD
3,Å|,1,2,U+4E85 ,817C
4,ÿØ,1,3,U+4E3F ,D8AF
5,ÿº,1,4,U+4E36 ,D8BC
6,ÅU,1,4,U+4E41 ,8155
7,ÅT,1,4,U+4E40 ,8154
8,Å^,1,5,U+4E5B ,815E
9,Å],1,5,U+4E5A ,815D
10,““,1,5,U+4E59 ,D2D2
11,∂˛,2,11,U+4E8C ,B6FE
12,ÅB,2,12,U+4E05 ,8142
13, Æ,2,12,U+5341 ,CAAE
14,∂°,2,12,U+4E01 ,B6A1
15,≥ß,2,13,U+5382 ,B3A7
16,ÅC,2,13,U+4E06 ,8143
17,ÿŒ,2,15,U+531A ,D8CE
18,Ö[,2,15,U+5338 ,855B
19,∆ﬂ,2,15,U+4E03 ,C6DF
20,Å@,2,15,U+4E02 ,8140
21,ÅA,2,21,U+4E04 ,8141
22,ÿ÷,2,22,U+5202 ,D8D6
23,≤∑,2,24,U+535C ,B2B7
24,ÿÁ,2,25,U+5182 ,D8E7
25,ÿÈ,2,32,U+4EBB ,D8E9
26,∞À,2,34,U+516B ,B0CB
27,»À,2,34,U+4EBA ,C8CB
28,»Î,2,34,U+5165 ,C8EB
29,ÅV,2,34,U+4E42 ,8156
30,ŸË,2,35,U+52F9 ,D9E8
31,∂˘,2,35,U+513F ,B6F9
32,ÿ∞,2,35,U+5315 ,D8B0
33,º∏,2,35,U+51E0 ,BCB8
34,æ≈,2,35,U+4E5D ,BEC5
35,ŸÔ,2,41,U+4EA0 ,D9EF
36,Ÿ˚,2,41,U+51AB ,D9FB
37,ÅR,2,43,U+4E37 ,8152
38,⁄¢,2,45,U+5196 ,DAA2
39,⁄•,2,45,U+8BA0 ,DAA5
40,µÛ,2,51,U+5201 ,B5F3
41,¡À,2,52,U+4E86 ,C1CB
42,€…,2,52,U+51F5 ,DBC9
43,ÅL,2,52,U+4E29 ,814C
44,⁄‡,2,52,U+5369 ,DAE0
45,⁄‚,2,52,U+961D ,DAE2
46,µ∂,2,53,U+5200 ,B5B6
47,¡¶,2,53,U+529B ,C1A6
48,ƒÀ,2,53,U+4E43 ,C4CB
49,”÷,2,54,U+53C8 ,D3D6
50,€Ã,2,54,U+53B6 ,DBCC
51,ÅW,2,54,U+4E44 ,8157
52,€»,2,54,U+5EF4 ,DBC8
53,éw,2,55,U+5DDC ,8E77
54,ÿø,2,55,U+4E5C ,D8BF
55,»˝,3,111,U+4E09 ,C8FD
56,∏…,3,112,U+5E72 ,B8C9
57,ÿ°,3,112,U+4E8D ,D8A1
58,”⁄,3,112,U+4E8E ,D3DA
59,ø˜,3,115,U+4E8F ,BFF7
60,ÅÄ,3,115,U+4E90 ,8180
61,π§,3,121,U+5DE5 ,B9A4
62,Õ¡,3,121,U+571F ,CDC1
63, ø,3,121,U+58EB ,CABF
64,ﬁ–,3,121,U+624C ,DED0
65,‹≥,3,122,U+8279 ,DCB3
66,Ö`,3,122,U+5344 ,8560
67,≤≈,3,123,U+624D ,B2C5
68,œ¬,3,124,U+4E0B ,CFC2
69,¥Á,3,124,U+5BF8 ,B4E7
70,ÿ¢,3,132,U+4E0C ,D8A2
71,ﬁ√,3,132,U+5EFE ,DEC3
72,¥Û,3,134,U+5927 ,B4F3
73,’…,3,134,U+4E08 ,D5C9
74,ÿ£,3,135,U+5140 ,D8A3
75,ﬁÃ,3,135,U+5C22 ,DECC
76,”Î,3,151,U+4E0E ,D3EB
77,ÕÚ,3,153,U+4E07 ,CDF2
78,ﬂÆ,3,154,U+5F0B ,DFAE
79,â˜,3,154,U+5928 ,89F7
80,…œ,3,211,U+4E0A ,C9CF
81,–°,3,234,U+5C0F ,D0A1
82,ÑG,3,235,U+51E3 ,8447
83,ø⁄,3,251,U+53E3 ,BFDA
84,‡Ì,3,251,U+56D7 ,E0ED
85,…Ω,3,252,U+5C71 ,C9BD
86,ΩÌ,3,252,U+5DFE ,BDED
87,«ß,3,312,U+5343 ,C7A7
88,ÿ±,3,315,U+4E47 ,D8B1
89,∆Ú,3,315,U+4E5E ,C6F2
90,¥®,3,322,U+5DDD ,B4A8
91,“⁄,3,325,U+4EBF ,D2DA
92,·‹,3,332,U+5F73 ,E1DC
93,·Í,3,333,U+5F61 ,E1EA
94,ÑF,3,335,U+51E2 ,8446
95,Åë,3,341,U+4EBC ,8191
96,∏ˆ,3,342,U+4E2A ,B8F6
97,ÅY,3,343,U+4E4A ,8159
98,Åí,3,344,U+4EBD ,8192
99,Åì,3,345,U+4EBE ,8193
100,É«,3,345,U+5166 ,83C7
101,Å},3,352,U+4E87 ,817D
102,·Î,3,353,U+72AD ,E1EB
103,œ¶,3,354,U+5915 ,CFA6
104,æ√,3,354,U+4E45 ,BEC3
105,‚∫,3,354,U+5902 ,E2BA
106,âÂ,3,354,U+590A ,89E5
107,√¥,3,354,U+4E48 ,C3B4
108,…◊,3,354,U+52FA ,C9D7
109,∑≤,3,354,U+51E1 ,B7B2
110,ÕË,3,354,U+4E38 ,CDE8
111,º∞,3,354,U+53CA ,BCB0
112,‚ª,3,355,U+9963 ,E2BB
113,„‹,3,412,U+4E2C ,E3DC
114,π„,3,413,U+5E7F ,B9E3
115,Õˆ,3,415,U+4EA1 ,CDF6
116,√≈,3,425,U+95E8 ,C3C5
117,—æ,3,432,U+4E2B ,D1BE
118,“Â,3,434,U+4E49 ,D2E5
119,„ﬂ,3,441,U+6C35 ,E3DF
120,‚‡,3,442,U+5FC4 ,E2E0
121,Â≤,3,445,U+5B80 ,E5B2
122,Â¡,3,454,U+8FB6 ,E5C1
123,÷Æ,3,454,U+4E4B ,D6AE
124,ÂÊ,3,511,U+5F50 ,E5E6
125,Ö_,3,512,U+5342 ,855F
126, ¨,3,513,U+5C38 ,CAAC
127,º∫,3,515,U+5DF1 ,BCBA
128,“—,3,515,U+5DF2 ,D2D1
129,À»,3,515,U+5DF3 ,CBC8
130,π≠,3,515,U+5F13 ,B9AD
131,åH,3,521,U+5B52 ,8C48
132,◊”,3,521,U+5B50 ,D7D3
133,Ê›,3,521,U+5B51 ,E6DD
134,Œ¿,3,521,U+536B ,CEC0
135,Â¯,3,522,U+5C6E ,E5F8
136,Êﬁ,3,524,U+5B53 ,E6DE
137,Öm,3,524,U+536A ,856D
138,“≤,3,525,U+4E5F ,D2B2
139,≈Æ,3,531,U+5973 ,C5AE
140,ÅX,3,534,U+4E46 ,8158
141,»–,3,534,U+5203 ,C8D0
142,ÑU,3,534,U+5204 ,8455
143,∑…,3,534,U+98DE ,B7C9
144,Ñ≤,3,535,U+529C ,84B2
145,œ∞,3,541,U+4E60 ,CFB0
146,≤Ê,3,544,U+53C9 ,B2E6
147,¬Ì,3,551,U+9A6C ,C2ED
148,èü,3,551,U+5F51 ,8F9F
149,Ê˘,3,551,U+7E9F ,E6F9
150,œÁ,3,553,U+4E61 ,CFE7
151,Á€,3,554,U+5E7A ,E7DB
152,Á›,3,555,U+5DDB ,E7DD
153,ÅÅ,4,1111,U+4E96 ,8181
154,∑·,4,1112,U+4E30 ,B7E1
155,Õı,4,1121,U+738B ,CDF5
156,ÿ¡,4,1132,U+4E93 ,D8C1
157,ø™,4,1132,U+5F00 ,BFAA
158,æÆ,4,1132,U+4E95 ,BEAE
159,ÃÏ,4,1134,U+5929 ,CCEC
160,∑Ú,4,1134,U+592B ,B7F2
161,‘™,4,1135,U+5143 ,D4AA
162,Œﬁ,4,1135,U+65E0 ,CEDE
163,Œ§,4,1152,U+97E6 ,CEA4
164,‘∆,4,1154,U+4E91 ,D4C6
165,èo,4,1154,U+5F0C ,8F6F
166,◊®,4,1154,U+4E13 ,D7A8
167,¬S,4,1213,U+8002 ,C253
168,àM,4,1214,U+5721 ,884D
169,ÿ§,4,1215,U+4E10 ,D8A4
170,àL,4,1215,U+5720 ,884C
171,‘˙,4,1215,U+624E ,D4FA
172,ÿ•,4,1221,U+5EFF ,D8A5
173,“’,4,1225,U+827A ,D2D5
174,ƒæ,4,1234,U+6728 ,C4BE
175,ñW,4,1234,U+6729 ,9657
176,Åa,4,1245,U+4E64 ,8161
177,ŒÂ,4,1251,U+4E94 ,CEE5
178,éâ,4,1252,U+5E00 ,8E89
179,éà,4,1252,U+5DFF ,8E88
180,ﬂã,4,1252,U+9092 ,DF8B
181,÷ß,4,1254,U+652F ,D6A7
182,ÅD,4,1255,U+4E0F ,8144
183,Ã¸,4,1312,U+5385 ,CCFC
184,ÿ¶,4,1322,U+5345 ,D8A6
185,≤ª,4,1324,U+4E0D ,B2BB
186,É”,4,1325,U+5187 ,83D3
187,ÿ∆,4,1334,U+4EC4 ,D8C6
188,»Æ,4,1344,U+72AC ,C8AE
189,Ã´,4,1344,U+592A ,CCAB
190,«¯,4,1345,U+533A ,C7F8
191,¿˙,4,1353,U+5386 ,C0FA
192,¥ı,4,1354,U+6B79 ,B4F5
193,”—,4,1354,U+53CB ,D3D1
194,Öö,4,1354,U+53B7 ,859A
195,”»,4,1354,U+5C24 ,D3C8
196,∂Ú,4,1355,U+5384 ,B6F2
197,∆•,4,1355,U+5339 ,C6A5
198,ﬁv,4,1454,U+8FB7 ,DE76
199,≥µ,4,1512,U+8F66 ,B3B5
200,ëı,4,1513,U+6238 ,91F5
201,æﬁ,4,1515,U+5DE8 ,BEDE
202,—¿,4,1523,U+7259 ,D1C0
203,ÕÕ,4,1525,U+5C6F ,CDCD
204,∏Í,4,1534,U+6208 ,B8EA
205,î˙,4,1535,U+65E1 ,94FA
206,É≥,4,1535,U+5142 ,83B3
207,±»,4,1535,U+6BD4 ,B1C8
208,ª•,4,1551,U+4E92 ,BBA5
209,«–,4,1553,U+5207 ,C7D0
210,Õﬂ,4,1554,U+74E6 ,CDDF
211,Öj,4,2121,U+535D ,856A
212,÷π,4,2121,U+6B62 ,D6B9
213,Í∑,4,2154,U+6534 ,EAB7
214,…Ÿ,4,2343,U+5C11 ,C9D9
215,å®,4,2344,U+5C10 ,8CA8
216,‘ª,4,2511,U+66F0 ,D4BB
217,»’,4,2511,U+65E5 ,C8D5
218,É–,4,2511,U+5183 ,83D0
219,É—,4,2511,U+5184 ,83D1
220,÷–,4,2512,U+4E2D ,D6D0
221,É“,4,2521,U+5186 ,83D2
222,Å_,4,2525,U+4E62 ,815F
223,±¥,4,2534,U+8D1D ,B1B4
224,¿†,4,2534,U+7F53 ,C0A0
225,∏‘,4,2534,U+5188 ,B8D4
226,ƒ⁄,4,2534,U+5185 ,C4DA
227,É»,4,2534,U+5167 ,83C8
228,ÀÆ,4,2534,U+6C34 ,CBAE
229,º˚,4,2535,U+89C1 ,BCFB
230,∂b,4,2554,U+79B8 ,B662
231,ŒÁ,4,3112,U+5348 ,CEE7
232,≈£,4,3112,U+725B ,C5A3
233, ÷,4,3112,U+624B ,CAD6
234,∆¯,4,3115,U+6C14 ,C6F8
235,√´,4,3115,U+6BDB ,C3AB
236,»…,4,3121,U+58EC ,C8C9
237,†´,4,3121,U+725C ,A0AB
238,…˝,4,3132,U+5347 ,C9FD
239,ÿ≤,4,3134,U+592D ,D8B2
240,Î∂,4,3134,U+6535 ,EBB6
241,≥§,4,3154,U+957F ,B3A4
242,» ,4,3211,U+4EC1 ,C8CA
243, ≤,4,3212,U+4EC0 ,CAB2
244,ÿÍ,4,3212,U+4EC3 ,D8EA
